WONUM,DESCRIPTION,ABCWUA_ADDRESS,PERSONGROUP,ABCWUA_SERVAREA,LOCATION,ASSETNUM,ABCWUA_CALLNUM,ABCWUA_CALLNUM2,WORKTYPE,ABCWUA_SUBWT,ORIGRECORDID,STATUS,STATUSDATE,WOPRIORITY,REPORTDATE,ACTFINISH,ABCWUA_EQNUM,WOEQ1,MAXGISID,MAP_PAGE,PIPE_DIAMETER,PIPE_LENGTH,PIPE_MATERIAL,ABCWUA_MANHOLE_FRM,ABCWUA_MANHOLE_TO,FAILURECODE,PROBLEMCODE,CAUSE,REMEDY,ABCWUA_10CODE,ABCWUA_SPILLAGE,VENDOR,ESTLABHRS,ACTLABHRS,PARENT,RPTDATE_CALPERIOD,RPTDATE_DAYOFWEEK,RPTDATE_HROFDAY,RPTDATE_WEEKOFYEAR,WO_AGING_DAYS,AGING_PERIOD,AGING_PERIOD_COMP
11439833,1048 tot 264 cs,3813 GLEN CANYON RD NE,RECCL,AS,RPIPE,276723,264,260,CM,,60809,CLOSE,8/27/13 2:00,5,5/14/13 6:19,5/10/13 15:30,,Root Saw needed.,RPIPE267998,G-22,8,159,VCP,G22281,G22282,PIPE,PROPDAM,ROOTS,CC,10-48,,,0,2,,201305,TUESDAY  ,6,20,105,GT 90 DAYS,GT 90 DAYS
11439834,10-40 TOT 264 AS,2829 SAN MATEO BLVD NE,RECCL,AS,RPIPE,269626,264,260,CM,,60579,CLOSE,8/27/13 2:00,4,5/14/13 6:32,5/3/13 11:45,,,RPIPE260901,H-17,8,321,CP,H17193,H17092,PIPE,BACKUP,RAGS,CC,10-40,,,0,2,,201305,TUESDAY  ,6,20,105,GT 90 DAYS,GT 90 DAYS
11442392,10-40/tot 210/211,2121 AMERICAS PKWY NE,RECCL,AS,RPIPE,280542,211,210,CM,,61022,CLOSE,8/30/13 2:01,5,5/16/13 0:25,5/16/13 0:45,,,RPIPE271817,H-18,8,207,VCP,H18984,H18983,PIPE,OVERFLOW,GREASE,CC,10-42,360,,0,4.8333333333,,201305,THURSDAY ,0,20,106,GT 90 DAYS,GT 90 DAYS
11444159,10-4O INSIDE/tot 250/258,5839 AVE LA BARRANCA NW,RECCL,AS,RPIPE,300758,258,250,CM,,61185,CLOSE,9/26/13 2:01,4,5/20/13 15:52,5/20/13 14:45,,,RPIPE292033,B-10,8,317.68258667,AC,B10382,B10392,PIPE,BACKUP,DEBRIS,CC,10-40,,,0,1.1666666667,,201305,MONDAY   ,15,20,128,GT 90 DAYS,GT 90 DAYS
11446167,10-52 TOT 210-213,1201 ARIZONA ST NE,RECCL,AS,RPIPE,282754,213,210,CM,,61277,CLOSE,9/26/13 2:02,4,5/22/13 22:28,5/22/13 17:35,,,RPIPE274029,J-18,8,343,CP,J18652,J18651,PIPE,BACKUP,RTSGRS,CC,10-40,,,0,2,,201305,WEDNESDAY,22,21,126,GT 90 DAYS,GT 90 DAYS
11446663,1040 inside tot 210//  AS,10504 KAREN AVE NE,RECCL,AS,RPIPE,279594,213,210,CM,,61329,CLOSE,9/26/13 2:00,5,5/23/13 22:01,5/23/13 18:50,,,RPIPE270869,G-21,8,350,VCP,G21162,G21157,PIPE,PROPDAM,ROOTS,CC,10-48,,,0,3,,201305,THURSDAY ,22,21,125,GT 90 DAYS,GT 90 DAYS
11448150,10-42 TOT 251,1521 SPENCE Ave.SE,RECCL,AS,RPIPE,284676,251,250,CM,,61450,CLOSE,10/23/13 2:00,5,5/28/13 14:16,5/28/13 13:40,,,RPIPE275951,M-15,8,418,CP,M15142,M15132,PIPE,OVERFLOW,RAGS,CC,10-42,60,,0,2.6666666667,,201305,TUESDAY  ,14,22,147,GT 90 DAYS,GT 90 DAYS
11448312,10-40/tot 210/211,2745 MANZANO ST NE,RECCL,AS,RPIPE,270604,211,210,CM,,61479,CLOSE,10/23/13 2:00,4,5/28/13 22:42,5/28/13 21:35,,,RPIPE261879,H-17,8,319,CP,H17381,H17282,PIPE,BACKUP,RAGS,CC,10-40,,,0,1,,201305,TUESDAY  ,22,22,147,GT 90 DAYS,GT 90 DAYS
11448502,10-40 TOT 261-262 AS,2801 VAIL AVE SE,RECCL,AS,RPIPE,286079,263,260,CM,,61357,CLOSE,9/26/13 2:01,4,5/29/13 6:56,5/24/13 15:05,,,RPIPE277354,L-16,8,320,CP,L16742,L16736,PIPE,BACKUP,GREASE,CC,10-40,,,0,1.3333333333,,201305,WEDNESDAY,6,22,120,GT 90 DAYS,GT 90 DAYS
11449666,10-40 TOT 260-217,2324 MORROW RD NE,RECCL,AS,RPIPE,269621,251,250,CM,,61128,CLOSE,9/26/13 2:02,4,5/30/13 6:43,5/18/13 9:00,,Root Saw needed.,RPIPE260896,H-15,8,173,VCP,H16902,H15995,PIPE,BACKUP,RAGS,CC,10-40,,,0,1.1666666667,,201305,THURSDAY ,6,22,119,GT 90 DAYS,GT 90 DAYS
11454484,10-42-TOT 258-250 AS,6219 AZTEC RD NE,RECCL,AS,RPIPE,274218,258,250,CM,,61743,CLOSE,9/30/13 2:00,5,6/5/13 17:08,6/5/13 15:30,,,RPIPE265493,G-18,8,331,CP,G18752,G18743,PIPE,OVERFLOW,DEBRIS,CC,10-42,300,,0,2.6666666667,,201306,WEDNESDAY,17,23,116,GT 90 DAYS,GT 90 DAYS
11455589,10-40//10-42 TOT 260-264 AS,811 EL PUEBLO RD NW,RECCL,AS,RPIPE,269568,264,260,CM,,61782,CLOSE,10/23/13 2:00,4,6/7/13 7:14,6/6/13 14:14,,,RPIPE260843,C-15,8,450,PVC,C15501,C15511,PIPE,BACKUP,ROOTS,CC,10-40,,,0,2,,201306,FRIDAY   ,7,23,138,GT 90 DAYS,GT 90 DAYS
11457093,10-42 TOT 258 AS (IN EASEMENT IN BACKYARD),1316 STAGECOACH LN SE,RECCL,AS,RPIPE,314706,258,258,CM,,61884,CLOSE,9/30/13 2:00,5,6/10/13 11:58,6/11/13 6:20,,,RPIPE305981,M-23,8,246,CP,M23254,M23253,PIPE,OVERFLOW,RAGSRTS,CC,10-42,410,,0,4.7333333333,,201306,MONDAY   ,11,23,112,GT 90 DAYS,GT 90 DAYS
11458551,10-40 tot 210,408 60TH ST SW,RECCL,AS,RPIPE,298315,216,210,CM,,62029,CLOSE,10/23/13 2:00,4,6/12/13 21:08,6/12/13 19:35,,,RPIPE289590,K-11,8,240,VCP,K11643,K11646,PIPE,BACKUP,RAGSRTS,CC,10-40,,,0,1,,201306,WEDNESDAY,21,24,132,GT 90 DAYS,GT 90 DAYS
11459522,10-42 TOT 260 as,1336 LOBO PL NE,RECCL,AS,RPIPE,280550,261,260,CM,,62040,CLOSE,9/30/13 2:00,5,6/13/13 9:08,6/13/13 10:00,,,RPIPE271825,J-16,8,55,CP,J16233,J16234,PIPE,OVERFLOW,DEBRIS,CC,10-42,20,,0,0.6666666667,,201306,THURSDAY ,9,24,109,GT 90 DAYS,GT 90 DAYS
11460400,10-40 tot 260-211 as,1605 HIAWATHA ST NE,RECCL,AS,RPIPE,315221,211,210,CM,,62108,CLOSE,9/30/13 2:00,5,6/14/13 20:46,6/14/13 16:42,,,RPIPE306496,J-22,8,285,VCP,J22134,J22132,PIPE,PROPDAM,RAGSRTS,CC,10-48,,,0,1.2333333333,,201306,FRIDAY   ,20,24,107,GT 90 DAYS,GT 90 DAYS
11462977,10-40 tot 210,2118 WALTER ST SE,RECCL,AS,RPIPE,284896,211,210,CM,,62341,CLOSE,9/30/13 2:00,5,6/20/13 23:29,6/20/13 23:35,,,RPIPE276171,L-14,8,350,CP,L14891,L14791,PIPE,PROPDAM,GREASE,CC,10-48,,,0,2.1666666667,,201306,THURSDAY ,23,25,101,GT 90 DAYS,GT 90 DAYS
11465946,10-42 TOT 210,65TH ST. B/W CHURCHILL & GONZALES SW,RECCL,AS,RPIPE,297171,216,210,CM,,62560,CLOSE,9/30/13 2:00,5,6/26/13 21:43,6/26/13 19:55,,,RPIPE288446,K-11,8,400,CP,K11707,K11805,PIPE,OVERFLOW,GREASE,CC,10-42,255,,0,1,,201306,WEDNESDAY,21,26,95,GT 90 DAYS,GT 90 DAYS
11477795,1042 TOT 260 tot 263,700 WOODWARD   RD  SE,RECCL,AS,RPIPE,284230,263,260,CM,,63118,CLOSE,12/10/13 2:00,5,7/12/13 13:58,7/12/13 11:00,,,RPIPE275505,M-14,10,29.32999992,PVC,M14673,M14672,PIPE,OVERFLOW,ROCKS,CC,10-42,500,,0,2.8333333333,,201307,FRIDAY   ,13,28,151,GT 90 DAYS,GT 90 DAYS
11484201,10-42  TOT 212 tot 250,801 GUAYMAS PL NE,RECCL,AS,RPIPE,285187,258,250,CM,,63357,CLOSE,12/10/13 2:01,5,7/19/13 21:50,7/20/13 2:15,,,RPIPE276462,K-19,8,331.4,CP,K19152,K19144,PIPE,OVERFLOW,GREASE,CC,10-42,200,,0,10.5,,201307,FRIDAY   ,21,29,143,GT 90 DAYS,GT 90 DAYS
11485687,10-40 TOT UNIT 210-211,2329 SALVADOR RD SW,RECCL,AS,RPIPE,298538,211,210,CM,,63440,CLOSE,12/10/13 2:00,4,7/23/13 17:39,7/22/13 19:35,,,RPIPE289813,L-11,8,90,VCP,L11391,L11394,PIPE,BACKUP,RGSGRS,CC,10-40,,,0,2,,201307,TUESDAY  ,17,30,139,GT 90 DAYS,GT 90 DAYS
11487919,10-42 TOT 264 AS,EUBANK/MONTGOMERY NE,RECCL,AS,RPIPE,279877,264,264,CM,,63594,CLOSE,11/11/13 2:00,5,7/26/13 14:38,7/26/13 22:50,,,RPIPE271152,F-20,8,403,CP,F20994,F20993,PIPE,OVERFLOW,GREASE,CC,10-42,"3,000",,0,4,,201307,FRIDAY   ,14,30,107,GT 90 DAYS,GT 90 DAYS
11491728,10-40 TOT  210// AS,8200 KRIM DR NE,RECCL,AS,RPIPE,264594,211,210,CM,,63790,CLOSE,12/10/13 2:00,4,7/31/13 22:00,7/31/13 20:30,,,RPIPE255869,D-19,8,203,VCP,D19271,D19273,PIPE,BACKUP,RAGS,CC,10-40,,,0,1.1666666667,,201307,WEDNESDAY,22,31,131,GT 90 DAYS,GT 90 DAYS
11496109,10-49 Back-up TOT 260 - 263 - AS,San Mateo & Alameda Blvd. NE,RECCL,AS,RPIPE,261362,263,260,CM,,63823,CLOSE,11/6/13 2:00,5,8/6/13 6:40,8/2/13 15:00,,,RPIPE252637,C-17,8,388,VCP,C17391,C17296,PIPE,BACKUP,RGSGRS,CC,10-40,,,0,10,,201308,TUESDAY  ,6,32,92,GT 90 DAYS,GT 90 DAYS
11503824,10-42 east of here/tot 250,Barstow st & Holly Ave NE,RECCL,AS,RPIPE,264943,263,250,CM,,64290,CLOSE,12/10/13 2:01,5,8/19/13 1:26,8/19/13 1:00,,,RPIPE256218,C-20,8,258,PVC,C20804,C20803,PIPE,OVERFLOW,GREASE,CC,10-42,200,,0,6,,201308,MONDAY   ,1,33,113,GT 90 DAYS,GT 90 DAYS
11503825,10-40 tot 250 as no damage,7509 ARVADA AVE NE,RECCL,AS,RPIPE,271792,263,250,CM,,64268,CLOSE,12/10/13 2:01,4,8/19/13 1:34,8/17/13 14:30,,,RPIPE263067,H-19,8,347,CP,H19641,H19741,PIPE,BACKUP,GREASE,CC,10-40,,,0,4.5,,201308,MONDAY   ,1,33,113,GT 90 DAYS,GT 90 DAYS
11504325,10-40 TOT 210,828 LEWIS AVE SW,RECCL,AS,RPIPE,282990,216,210,CM,,64325,CLOSE,12/10/13 2:00,4,8/19/13 16:53,8/19/13 16:35,,,RPIPE274265,L-13,8,380,CP,L13092,L14006,PIPE,BACKUP,SDGTGRVL,CC,10-40,,,0,1.1666666667,,201308,MONDAY   ,16,33,112,GT 90 DAYS,GT 90 DAYS
11506120,10-40 THE COOPRAGE RESTURANT- TOT 250,7220 LOMAS BLVD NE,RECCL,AS,RPIPE,285021,251,250,CM,,64385,CLOSE,11/21/13 2:00,4,8/22/13 6:19,8/21/13 14:40,,,RPIPE276296,K-19,8,371,CP,K19111,K19112,PIPE,BACKUP,GREASE,CC,10-40,,,0,1.1666666667,,201308,THURSDAY ,6,34,91,GT 90 DAYS,GT 90 DAYS
11507509,1042 tot 267,7017 MONTGOMERY BLVD NE,RECCL,AS,RPIPE,277817,261,264,CM,,64446,CLOSE,12/10/13 2:00,5,8/23/13 13:00,8/23/13 15:30,,,RPIPE269092,F-19,8,228,CP,F19902,F19901,PIPE,OVERFLOW,RAGS,CC,10-42,"1,500",,0,4,,201308,FRIDAY   ,13,34,109,GT 90 DAYS,GT 90 DAYS
11507660,10-42 TOT 210// AS; res notified,903 FOUR HILLS RD SE,RECCL,AS,RPIPE,312203,216,210,CM,,64452,CLOSE,12/10/13 2:01,5,8/23/13 23:22,8/23/13 22:35,,Root Saw needed.,RPIPE303478,M-23,8,240,CP,M23115,M23113,PIPE,OVERFLOW,ROOTS,CC,10-42,680,,0,1.6666666667,,201308,FRIDAY   ,23,34,108,GT 90 DAYS,GT 90 DAYS
11519528,10-42 tot 260-262 as,526 SAN CLEMENTE AVE NW,RECCL,AS,RPIPE,266117,264,260,CM,,64619,CLOSE,1/21/14 2:02,4,8/29/13 11:24,8/29/13 11:57,,,RPIPE257392,G-14,8,33,DIP,G14272,G14273,PIPE,BACKUP,RAGS,CC,10-40,,,0,2,,201308,THURSDAY ,11,35,145,GT 90 DAYS,GT 90 DAYS
11519204,10-42-1 blk w/Atrisco- TOT  220-AS,Don Luis Road &  Atrisco Drive SW,RECCL,AS,RPIPE,296523,255,220,CM,,64699,CLOSE,12/13/13 2:01,5,9/3/13 7:51,9/2/13 16:30,,Original Call was Atrisco & Don Luis SW . line was pluged at MH K12-621 unpluged at K12-622 Address 2222 Felicitas RD SW,RPIPE287798,K-12,8,175,VCP,K12621,K12622,PIPE,OVERFLOW,GREASE,CC,10-42,"3,725",,0,2.5,,201309,TUESDAY  ,7,36,101,GT 90 DAYS,GT 90 DAYS
11521319,10-40 IN BASEMENT,3108 LA SALA CUADRA NE,RECCL,AS,RPIPE,277347,264,260,CM,,64816,CLOSE,1/22/14 2:00,5,9/6/13 15:14,9/6/13 10:15,,Root Saw needed.,RPIPE268622,G-20,8,245,VCP,G20723,G20623,PIPE,PROPDAM,RAGSRTS,ROOTSAW,10-48,,,0,2,,201309,FRIDAY   ,15,36,137,GT 90 DAYS,GT 90 DAYS
11522023,10-42 TOT 250-258,10617 EASY ST NW,RECCL,AS,RPIPE,300241,258,250,CM,,64866,CLOSE,1/22/14 2:01,5,9/9/13 12:18,9/9/13 9:50,,,RPIPE291516,A-12,8,295.96539307,AC,A12371,A12482,PIPE,OVERFLOW,GREASE,CC,10-42,200,,0,2.9,,201309,MONDAY   ,12,36,135,GT 90 DAYS,GT 90 DAYS
11527102,10-40/tot 251,3541 MONTGOMERY BLVD NE,RECCL,AS,RPIPE,268810,261,260,CM,,65152,CLOSE,1/22/14 2:00,5,9/17/13 9:06,9/17/13 14:30,,,RPIPE260085,F-16,8,87,VCP,F16983,F16982,PIPE,OVERFLOW,GREASE,CC,10-42,"7,500",,0,9,,201309,TUESDAY  ,9,38,127,GT 90 DAYS,GT 90 DAYS
11528837,10-40/tot 210,4613 SUN VALLEY DR SW,RECCL,AS,RPIPE,295820,212,210,CM,,65304,CLOSE,1/22/14 2:01,4,9/20/13 22:06,9/20/13 22:30,,,RPIPE287095,Q-11,8,300,VCP,Q11423,Q11522,PIPE,BACKUP,RGSGRS,CC,10-40,,,0,1.8333333333,,201309,FRIDAY   ,22,38,123,GT 90 DAYS,GT 90 DAYS
11529799,10-40 TOT UNIT 210-212,10509 IRENE AVE NE,RECCL,AS,RPIPE,314131,212,210,CM,,65342,CLOSE,1/22/14 2:01,4,9/23/13 22:51,9/23/13 17:00,,Root Saw needed.,RPIPE305406,J-21,8,250,CP,J21713,J21703,PIPE,BACKUP,RGSGRS,CC,10-40,,,0,1.5,,201309,MONDAY   ,22,38,120,GT 90 DAYS,GT 90 DAYS
11531422,10-42 TOT 250 @ 10:34,11716 PALM SPRINGS AVE NE,RECCL,AS,RPIPE,271740,255,250,CM,,65450,CLOSE,1/22/14 2:01,5,9/26/13 14:26,9/26/13 12:00,,,RPIPE263015,G-22,8,366,VCP,G22935,G22934,PIPE,OVERFLOW,ROCKS,CC,10-42,70,,0,0.75,,201309,THURSDAY ,14,39,117,GT 90 DAYS,GT 90 DAYS
11531428,10-42 TOT 250 @ 11:45- 251 as,Juan Tabo & Candelaria Blvd NE,RECCL,AS,RPIPE,279689,251,250,CM,,65457,CLOSE,1/17/14 2:00,5,9/26/13 14:41,9/26/13 12:30,,,RPIPE270964,G-22,8,353,VCP,G22913,G22901,PIPE,OVERFLOW,RAGS,CC,10-42,260,,0,0.5,,201309,THURSDAY ,14,39,112,GT 90 DAYS,GT 90 DAYS
11532678,10-40 TOT 210/212,1401 PENNSYLVANIA ST NE,RECCL,AS,RPIPE,281722,212,210,CM,,65505,CLOSE,1/22/14 2:00,4,9/27/13 22:57,9/27/13 18:20,,,RPIPE272997,J-19,8,214,CP,J19443,J19552,PIPE,BACKUP,SDGTGRVL,CC,10-40,,,0,1.8333333333,,201309,FRIDAY   ,22,39,116,GT 90 DAYS,GT 90 DAYS
11538284,10-40 TOT 220-left voice message AS,1116 SUMMIT DR. NE,RECCL,AS,RPIPE,284655,211,220,CM,,65781,CLOSE,1/17/14 2:00,5,10/7/13 9:38,10/6/13 17:00,,,RPIPE275930,J-16,10,261,PVC,J16672,J16671,PIPE,OVERFLOW,RAGS,CC,10-42,"1,275",,0,5.3333333333,,201310,MONDAY   ,9,40,102,GT 90 DAYS,GT 90 DAYS
11539010,10-40 tot 220 as,316 VERANDA RD NW,RECCL,AS,RPIPE,266633,211,220,CM,,65766,CLOSE,1/17/14 2:00,4,10/8/13 13:40,10/5/13 18:30,,,RPIPE257908,G-14,8,459.69,PVC,G14772,G14672,PIPE,BACKUP,SDGTGRVL,CC,10-40,,,0,7.5,,201310,TUESDAY  ,13,41,101,GT 90 DAYS,GT 90 DAYS
11541893,10-40/tot 212,2924 TRUMAN ST NE,RECCL,AS,RPIPE,269626,212,210,CM,,66000,CLOSE,1/17/14 2:00,4,10/14/13 18:28,10/11/13 23:10,,,RPIPE260901,H-17,8,321,CP,H17193,H17092,PIPE,BACKUP,GREASE,CC,10-40,,,0,0.8333333333,,201310,MONDAY   ,18,41,94,GT 90 DAYS,GT 90 DAYS
11543399,10-40 TOT UNIT 250,9801 MONTGOMERY BLVD NE,RECCL,AS,RPIPE,279259,258,250,CM,,66049,CLOSE,3/12/14 2:00,4,10/17/13 7:23,10/14/13 12:50,,,RPIPE270534,F-21,8,400,CP,F21902,F21901,PIPE,BACKUP,GREASE,CC,10-40,,,0,3,,201310,THURSDAY ,7,42,146,GT 90 DAYS,GT 90 DAYS
11543487,10-42 TOT 250,10316 DELICADO PL NE,RECCL,AS,RPIPE,278988,258,250,CM,,66165,CLOSE,1/31/14 2:02,5,10/17/13 12:17,10/17/13 11:15,,,RPIPE270263,F-21,8,72,VCP,F21154,F21153,PIPE,OVERFLOW,RTSGRS,CC,10-42,50,,0,3.5,,201310,THURSDAY ,12,42,106,GT 90 DAYS,GT 90 DAYS
11545017,10-42 TOT 250/258,1715 2ND ST SW,RECCL,AS,RPIPE,282402,258,250,CM,,66270,CLOSE,1/31/14 2:03,5,10/21/13 10:25,10/21/13 9:45,,,RPIPE273677,L-14,8,257,VCP,L14423,L14521,PIPE,OVERFLOW,GREASE,CC,10-42,40,,0,4.5666666667,,201310,MONDAY   ,10,42,102,GT 90 DAYS,GT 90 DAYS
11546065,10-40 212 handled on 10/22/13,400 ATRISCO DR. SW,RECCL,AS,RPIPE,298710,212,210,CM,,66356,CLOSE,3/12/14 2:00,4,10/23/13 18:26,10/24/13 17:40,,,RPIPE289985,K-12,18,149.80000305,RCP,K12633,K12723,PIPE,BACKUP,GRSSDGRV,CC,10-40,,,0,1.3333333333,,201310,WEDNESDAY,18,43,139,GT 90 DAYS,GT 90 DAYS
11549659,10-40 TOT 250,2117 JOHN ST SE,RECCL,AS,RPIPE,284219,263,250,CM,,66447,CLOSE,3/12/14 2:00,4,10/28/13 7:05,10/28/13 16:30,,USE TORNADO NOZZLE:,RPIPE275494,L-14,8,350,CP,L14851,L14756,PIPE,BACKUP,GREASE,CC,10-40,,,0,5,,201310,MONDAY   ,7,43,135,GT 90 DAYS,GT 90 DAYS
11549865,10-40TOT 250/255 AS,4501 3RD ST NW,RECCL,AS,RPIPE,269351,255,250,CM,,66469,CLOSE,3/12/14 2:00,5,10/28/13 15:24,10/28/13 12:00,,Area needs to be put on Short Interval cleaning every three months. From Griegos to Menaul.,RPIPE260626,G-14,15,433,RCP,G14471,G14476,PIPE,BACKUP,RGSGRS,CC,10-40,,,0,1.1666666667,,201310,MONDAY   ,15,43,134,GT 90 DAYS,GT 90 DAYS
11552078,10-40/tot 260/213,313 DARTMOUTH DR SE,RECCL,AS,RPIPE,284953,213,260,CM,,66653,CLOSE,3/12/14 2:00,5,11/2/13 20:49,11/2/13 20:15,,Root Saw needed.,RPIPE276228,K-16,8,330,VCP,K16751,K16652,PIPE,PROPDAM,ROOTS,ROOTSAW,10-48,,,0,3.6666666667,,201311,SATURDAY ,20,44,129,GT 90 DAYS,GT 90 DAYS
11552691,10-40 manhole at spain and mesa del oso,5277 MESA DEL OSO NE,RECCL,AS,RPIPE,273722,263,260,CM,,66622,CLOSE,3/12/14 2:00,4,11/5/13 6:10,11/1/13 12:40,,Root Saw needed.,RPIPE264997,F-21,8,63,VCP,F21432,F21435,PIPE,BACKUP,GREASE,CC,10-40,,,0,2.5,,201311,TUESDAY  ,6,45,127,GT 90 DAYS,GT 90 DAYS
11555317,10-42 TOT 220,3300 CANDLELIGHT DR NE,RECCL,AS,RPIPE,279513,220,216,CM,,66880,CLOSE,3/12/14 2:00,5,11/9/13 8:12,11/9/13 10:45,,Root Saw needed.,RPIPE270788,G-21,8,105,VCP,G21773,G21871,PIPE,OVERFLOW,RAGS,CC,10-42,"13,100",,0,0.7333333333,,201311,SATURDAY ,8,45,123,GT 90 DAYS,GT 90 DAYS
11555555,10-40/216,7304 INWOOD CT NW,RECCL,AS,RPIPE,306378,216,210,CM,,66871,CLOSE,3/12/14 2:00,4,11/12/13 18:16,11/7/13 19:15,,,RPIPE297653,J-10,8,280.05,PVC,J10042,J10043,PIPE,BACKUP,DEBRIS,CC,10-40,,,0,1.5,,201311,TUESDAY  ,18,46,119,GT 90 DAYS,GT 90 DAYS
11557368,264 (1042) G17932-834 ( On Call ),GRACELAND & HOYLE DR NE,RECCL,AS,RPIPE,267178,264,230,CM,,67102,CLOSE,3/19/14 2:00,5,11/16/13 15:52,11/16/13 16:11,,,RPIPE258453,G-17,8,300,CP,G17932,G17834,PIPE,OVERFLOW,GREASE,CC,10-42,100,,0,5,,201311,SATURDAY ,15,46,122,GT 90 DAYS,GT 90 DAYS
11558453,10-42/tot 210/211,CLAREMONT & PALOMAS NE,RECCL,AS,RPIPE,269254,211,210,CM,,67206,CLOSE,3/19/14 2:00,5,11/19/13 21:31,11/19/13 22:40,,,RPIPE260529,H-18,8,258,CP,H18212,H18211,PIPE,OVERFLOW,RGSGRS,CC,10-42,73,,0,2.8333333333,,201311,TUESDAY  ,21,47,119,GT 90 DAYS,GT 90 DAYS
